customer_id,signup_date,region,currency_preference,segment,acquisition_channel,age_band,country,country_latitude,country_longitude
CUST0000059,31-01-2024 21:39,EU,EUR,SOHO,Organic,35-44,Netherlands,52.1326,5.2913
CUST0000060,20-06-2025 23:10,EU,GBP,Consumer,Email,35-44,United Kingdom,55.3781,-3.436
CUST0000061,09-09-2024 00:38,EU,GBP,Consumer,Social,18-24,United Kingdom,55.3781,-3.436
CUST0000062,05-06-2024 00:24,EU,EUR,Consumer,Organic,35-44,Germany,51.1657,10.4515
CUST0000063,15-03-2024 01:13,APAC,USD,Consumer,Social,45-54,Philippines,12.8797,121.774
CUST0000064,01-06-2024 15:07,,USD,SOHO,Affiliate,25-34,United States,39.8283,-98.5795
CUST0000065,22-01-2024 15:42,APAC,USD,Consumer,Social,25-34,Philippines,12.8797,121.774
CUST0000066,12-03-2025 10:55,EU,EUR,SOHO,Organic,18-24,Spain,40.4637,-3.7492
CUST0000067,30-05-2025 01:15,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000068,07-11-2024 19:07,EU,GBP,Consumer,Social,18-24,United Kingdom,55.3781,-3.436
CUST0000069,23-09-2024 12:24,EU,EUR,Consumer,Social,45-54,Netherlands,52.1326,5.2913
CUST0000070,12-06-2024 02:14,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000071,08-08-2024 20:43,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000072,27-08-2024 10:30,APAC,USD,SOHO,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000073,15-09-2024 12:13,EU,EUR,SOHO,Affiliate,25-34,France,46.2276,2.2137
CUST0000074,04-01-2024 03:30,EU,EUR,SOHO,Paid Search,25-34,Germany,51.1657,10.4515
CUST0000075,11-02-2024 11:45,APAC,USD,Enterprise,Organic,25-34,Philippines,12.8797,121.774
CUST0000076,17-04-2025 15:16,APAC,AUD,Consumer,Organic,18-24,Australia,-25.2744,133.7751
CUST0000077,09-04-2024 08:49,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000078,12-08-2024 22:48,,USD,Consumer,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000079,27-07-2024 21:35,EU,GBP,SOHO,Organic,35-44,United Kingdom,55.3781,-3.436
CUST0000080,25-08-2024 19:22,APAC,USD,Consumer,Affiliate,25-34,Philippines,12.8797,121.774
CUST0000081,25-07-2024 07:06,EU,EUR,SOHO,Email,25-34,Spain,40.4637,-3.7492
CUST0000082,27-02-2025 15:08,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000083,30-05-2025 08:54,,USD,SMB,Organic,35-44,United States,39.8283,-98.5795
CUST0000084,29-01-2025 21:31,,USD,SMB,Email,25-34,United States,39.8283,-98.5795
CUST0000085,25-02-2025 16:27,EU,EUR,Consumer,Social,35-44,Netherlands,52.1326,5.2913
CUST0000086,15-09-2024 22:53,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000087,04-02-2025 00:28,,USD,Consumer,Social,45-54,United States,39.8283,-98.5795
CUST0000088,08-02-2024 23:10,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000089,11-10-2024 13:02,APAC,AUD,Consumer,Email,25-34,Australia,-25.2744,133.7751
CUST0000090,23-02-2025 15:51,APAC,USD,SOHO,Paid Search,45-54,Philippines,12.8797,121.774
CUST0000091,31-01-2024 10:45,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000092,04-03-2025 19:25,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000093,26-08-2025 00:01,APAC,AUD,SOHO,Organic,25-34,Australia,-25.2744,133.7751
CUST0000094,22-07-2025 23:42,LATAM,USD,Consumer,Affiliate,45-54,Brazil,-14.235,-51.9253
CUST0000095,30-05-2025 16:53,,USD,Consumer,Organic,55+,United States,39.8283,-98.5795
CUST0000096,15-01-2024 20:59,EU,GBP,Consumer,Email,35-44,United Kingdom,55.3781,-3.436
CUST0000097,21-09-2024 13:22,EU,EUR,SOHO,Organic,35-44,France,46.2276,2.2137
CUST0000098,24-03-2025 05:37,EU,EUR,Consumer,Organic,35-44,Netherlands,52.1326,5.2913
CUST0000099,22-08-2025 00:58,EU,GBP,SMB,Retail Media,25-34,United Kingdom,55.3781,-3.436
CUST0000100,01-01-2024 13:36,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000101,04-05-2024 20:51,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000102,16-03-2024 21:09,,USD,Consumer,Organic,18-24,Canada,56.1304,-106.3468
CUST0000103,25-11-2024 01:41,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000104,30-07-2024 14:13,EU,EUR,Consumer,Organic,45-54,Netherlands,52.1326,5.2913
CUST0000105,11-07-2025 12:49,,USD,Consumer,Affiliate,35-44,United States,39.8283,-98.5795
CUST0000106,01-10-2024 12:08,EU,GBP,Consumer,Paid Search,18-24,United Kingdom,55.3781,-3.436
CUST0000107,27-05-2024 05:07,EU,EUR,Consumer,Affiliate,18-24,France,46.2276,2.2137
CUST0000108,17-07-2025 20:00,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000109,04-07-2024 12:51,EU,EUR,SOHO,Email,35-44,Germany,51.1657,10.4515
CUST0000110,12-02-2025 11:12,EU,EUR,Consumer,Social,25-34,Netherlands,52.1326,5.2913
CUST0000111,24-05-2025 21:16,,USD,Consumer,Email,25-34,Canada,56.1304,-106.3468
CUST0000112,19-03-2025 16:34,APAC,AUD,SOHO,Email,55+,Australia,-25.2744,133.7751
CUST0000113,07-10-2024 15:09,,USD,Consumer,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000114,29-08-2025 23:04,,USD,SOHO,Email,35-44,Canada,56.1304,-106.3468
CUST0000115,27-07-2025 21:17,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000116,08-08-2024 00:16,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000117,03-06-2025 13:45,APAC,USD,SMB,Organic,25-34,Philippines,12.8797,121.774
CUST0000118,18-11-2024 19:42,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000119,08-03-2025 23:02,,USD,SOHO,Organic,45-54,Canada,56.1304,-106.3468
CUST0000120,04-07-2024 08:10,LATAM,USD,Consumer,Organic,25-34,Brazil,-14.235,-51.9253
CUST0000121,08-11-2024 14:33,,USD,SOHO,Organic,45-54,United States,39.8283,-98.5795
CUST0000122,17-08-2025 01:42,APAC,AUD,SMB,Email,25-34,Australia,-25.2744,133.7751
CUST0000123,17-05-2024 20:20,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000124,23-03-2024 12:35,EU,GBP,SMB,Organic,18-24,United Kingdom,55.3781,-3.436
CUST0000125,22-02-2024 14:39,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000126,22-07-2025 20:20,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000127,25-04-2025 19:33,APAC,AUD,Consumer,Email,35-44,Australia,-25.2744,133.7751
CUST0000128,23-06-2025 15:55,EU,EUR,SMB,Affiliate,45-54,Spain,40.4637,-3.7492
CUST0000129,28-03-2025 04:53,,USD,Consumer,Retail Media,18-24,Canada,56.1304,-106.3468
CUST0000130,30-08-2025 02:22,EU,GBP,Consumer,Affiliate,25-34,United Kingdom,55.3781,-3.436
CUST0000131,21-06-2024 05:48,,USD,SMB,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000132,29-01-2025 01:07,APAC,AUD,SOHO,Organic,35-44,Australia,-25.2744,133.7751
CUST0000133,23-05-2025 00:01,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000134,27-05-2024 05:54,APAC,USD,Consumer,Social,35-44,Philippines,12.8797,121.774
CUST0000135,18-05-2025 01:22,EU,EUR,Consumer,Paid Search,55+,Spain,40.4637,-3.7492
CUST0000136,13-09-2024 16:40,,USD,Consumer,Organic,25-34,Canada,56.1304,-106.3468
CUST0000137,20-06-2025 03:03,APAC,USD,Consumer,Organic,18-24,Philippines,12.8797,121.774
CUST0000138,28-05-2024 02:42,,USD,SOHO,Social,35-44,United States,39.8283,-98.5795
CUST0000139,21-03-2024 00:42,,USD,Consumer,Organic,45-54,Canada,56.1304,-106.3468
CUST0000140,22-09-2024 13:28,EU,EUR,SOHO,Retail Media,55+,Germany,51.1657,10.4515
CUST0000141,28-10-2024 15:47,APAC,USD,SOHO,Paid Search,25-34,Philippines,12.8797,121.774
CUST0000142,13-04-2025 07:12,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000143,01-04-2025 12:27,,USD,Consumer,Organic,45-54,Canada,56.1304,-106.3468
CUST0000144,19-12-2024 07:58,EU,EUR,Consumer,Social,45-54,Netherlands,52.1326,5.2913
CUST0000145,09-01-2025 17:03,,USD,Consumer,Social,35-44,United States,39.8283,-98.5795
CUST0000146,08-10-2024 15:49,EU,EUR,SOHO,Paid Search,25-34,France,46.2276,2.2137
CUST0000147,16-03-2024 08:27,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000148,01-05-2025 20:50,EU,GBP,Consumer,Email,25-34,United Kingdom,55.3781,-3.436
CUST0000149,01-04-2024 07:02,,USD,Consumer,Paid Search,55+,United States,39.8283,-98.5795
CUST0000150,09-01-2024 21:46,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000151,12-09-2024 10:35,,USD,Consumer,Paid Search,35-44,United States,39.8283,-98.5795
CUST0000152,21-07-2025 05:08,EU,EUR,Consumer,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000153,25-11-2024 02:14,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000154,02-04-2024 06:16,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000155,08-02-2024 13:17,EU,EUR,SMB,Organic,35-44,France,46.2276,2.2137
CUST0000156,02-03-2025 01:14,EU,EUR,SOHO,Social,25-34,Germany,51.1657,10.4515
CUST0000157,02-02-2025 11:33,,USD,Consumer,Organic,25-34,United States,39.8283,-98.5795
CUST0000158,06-03-2024 10:37,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000159,14-06-2025 06:40,EU,EUR,Consumer,Paid Search,45-54,Germany,51.1657,10.4515
CUST0000160,24-07-2024 10:46,EU,EUR,Consumer,Email,55+,Germany,51.1657,10.4515
CUST0000161,03-03-2025 01:34,,USD,Consumer,Organic,35-44,Canada,56.1304,-106.3468
CUST0000162,02-10-2024 22:46,,USD,Consumer,Email,45-54,United States,39.8283,-98.5795
CUST0000163,14-05-2025 11:55,APAC,AUD,Consumer,Paid Search,35-44,Australia,-25.2744,133.7751
CUST0000164,23-09-2024 03:03,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000165,11-09-2024 06:59,EU,GBP,Consumer,Organic,55+,United Kingdom,55.3781,-3.436
CUST0000166,26-02-2025 14:37,APAC,AUD,Consumer,Organic,25-34,Australia,-25.2744,133.7751
CUST0000167,28-12-2024 03:16,EU,GBP,SOHO,Retail Media,18-24,United Kingdom,55.3781,-3.436
CUST0000168,04-09-2024 02:58,EU,EUR,Consumer,Affiliate,55+,Netherlands,52.1326,5.2913
CUST0000169,28-09-2024 19:23,APAC,AUD,Consumer,Organic,45-54,Australia,-25.2744,133.7751
CUST0000170,23-01-2025 20:46,EU,GBP,Consumer,Social,25-34,United Kingdom,55.3781,-3.436
CUST0000171,13-07-2025 00:15,EU,EUR,SMB,Organic,55+,Spain,40.4637,-3.7492
CUST0000172,21-02-2025 18:04,APAC,AUD,SMB,Paid Search,25-34,Australia,-25.2744,133.7751
CUST0000173,06-08-2025 19:26,,USD,SOHO,Retail Media,25-34,United States,39.8283,-98.5795
CUST0000174,23-08-2025 18:40,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000175,18-06-2024 11:46,,USD,Consumer,Social,25-34,United States,39.8283,-98.5795
CUST0000176,03-12-2024 21:14,EU,EUR,SOHO,Paid Search,35-44,Netherlands,52.1326,5.2913
CUST0000177,25-05-2025 00:35,,USD,Consumer,Email,25-34,Canada,56.1304,-106.3468
CUST0000178,06-04-2024 03:21,APAC,USD,Consumer,Affiliate,18-24,Philippines,12.8797,121.774
CUST0000179,15-02-2025 14:44,APAC,AUD,SMB,Retail Media,35-44,Australia,-25.2744,133.7751
CUST0000180,06-02-2025 06:25,EU,GBP,Consumer,Affiliate,35-44,United Kingdom,55.3781,-3.436
CUST0000181,11-08-2025 19:39,,USD,Consumer,Paid Search,18-24,United States,39.8283,-98.5795
CUST0000182,09-06-2025 04:43,APAC,AUD,Consumer,Affiliate,55+,Australia,-25.2744,133.7751
CUST0000183,28-09-2024 17:33,EU,GBP,Consumer,Paid Search,35-44,United Kingdom,55.3781,-3.436
CUST0000184,30-09-2024 13:53,LATAM,USD,Consumer,Social,25-34,Brazil,-14.235,-51.9253
CUST0000185,29-01-2024 18:06,,USD,SOHO,Social,25-34,United States,39.8283,-98.5795
CUST0000186,03-02-2024 15:36,EU,GBP,SOHO,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000187,19-11-2024 11:26,APAC,AUD,Consumer,Social,35-44,Australia,-25.2744,133.7751
CUST0000188,01-04-2025 14:19,APAC,AUD,SMB,Paid Search,25-34,Australia,-25.2744,133.7751
CUST0000189,17-12-2024 05:01,EU,GBP,Consumer,Organic,18-24,United Kingdom,55.3781,-3.436
CUST0000190,17-09-2024 02:58,,USD,Consumer,Organic,25-34,Canada,56.1304,-106.3468
CUST0000191,26-01-2024 20:50,,USD,SOHO,Email,25-34,United States,39.8283,-98.5795
CUST0000192,01-10-2024 03:22,,USD,SOHO,Paid Search,35-44,Canada,56.1304,-106.3468
CUST0000193,14-03-2025 09:18,APAC,AUD,Consumer,Email,55+,Australia,-25.2744,133.7751
CUST0000194,08-03-2024 09:16,EU,EUR,SMB,Paid Search,25-34,Netherlands,52.1326,5.2913
CUST0000195,28-01-2025 00:32,EU,EUR,SOHO,Email,45-54,Spain,40.4637,-3.7492
CUST0000196,11-12-2024 14:12,EU,EUR,SMB,Paid Search,55+,Germany,51.1657,10.4515
CUST0000197,21-02-2025 20:34,,USD,Consumer,Social,55+,United States,39.8283,-98.5795
CUST0000198,18-06-2025 06:01,LATAM,USD,SOHO,Paid Search,55+,Brazil,-14.235,-51.9253
CUST0000199,21-05-2024 03:33,EU,GBP,Enterprise,Affiliate,45-54,United Kingdom,55.3781,-3.436
CUST0000200,08-07-2025 19:35,APAC,USD,SOHO,Organic,35-44,Philippines,12.8797,121.774
CUST0000201,23-01-2024 14:48,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000202,15-06-2024 22:01,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000203,02-09-2024 08:54,EU,EUR,Consumer,Email,45-54,Spain,40.4637,-3.7492
CUST0000204,05-06-2025 11:29,APAC,USD,Consumer,Organic,25-34,Philippines,12.8797,121.774
CUST0000205,07-07-2024 06:27,EU,EUR,SMB,Email,25-34,Germany,51.1657,10.4515
CUST0000206,16-04-2025 18:12,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000207,29-04-2025 16:49,EU,GBP,Consumer,Organic,45-54,United Kingdom,55.3781,-3.436
CUST0000208,25-09-2024 22:01,,USD,SMB,Organic,45-54,United States,39.8283,-98.5795
CUST0000209,21-08-2025 13:31,APAC,AUD,Consumer,Paid Search,35-44,Australia,-25.2744,133.7751
CUST0000210,16-06-2025 01:05,APAC,AUD,Consumer,Paid Search,25-34,Australia,-25.2744,133.7751
CUST0000211,01-01-2024 16:58,APAC,USD,Consumer,Social,35-44,Philippines,12.8797,121.774
CUST0000212,06-06-2024 08:44,EU,GBP,Consumer,Retail Media,18-24,United Kingdom,55.3781,-3.436
CUST0000213,12-07-2025 02:20,,USD,Consumer,Email,35-44,United States,39.8283,-98.5795
CUST0000214,30-07-2024 11:56,,USD,Enterprise,Organic,25-34,United States,39.8283,-98.5795
CUST0000215,28-04-2024 22:03,EU,EUR,Consumer,Organic,55+,France,46.2276,2.2137
CUST0000216,30-05-2024 17:25,EU,EUR,Consumer,Email,35-44,Germany,51.1657,10.4515
CUST0000217,13-07-2024 15:16,,USD,Consumer,Paid Search,35-44,Canada,56.1304,-106.3468
CUST0000218,08-04-2025 09:56,EU,EUR,Consumer,Social,35-44,Germany,51.1657,10.4515
CUST0000219,29-03-2024 14:21,APAC,USD,Consumer,Organic,35-44,Philippines,12.8797,121.774
CUST0000220,13-03-2025 15:54,LATAM,USD,Consumer,Retail Media,25-34,Brazil,-14.235,-51.9253
CUST0000221,30-03-2025 15:06,APAC,AUD,Consumer,Organic,35-44,Australia,-25.2744,133.7751
CUST0000222,18-07-2024 00:08,APAC,USD,SOHO,Social,55+,Philippines,12.8797,121.774
CUST0000223,05-01-2025 22:25,,USD,Consumer,Paid Search,25-34,Canada,56.1304,-106.3468
CUST0000224,27-06-2024 11:37,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000225,07-10-2024 05:08,,USD,SOHO,Organic,55+,United States,39.8283,-98.5795
CUST0000226,27-02-2024 11:10,EU,GBP,Consumer,Email,45-54,United Kingdom,55.3781,-3.436
CUST0000227,10-01-2024 09:52,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000228,25-01-2025 23:15,EU,EUR,Consumer,Paid Search,45-54,Netherlands,52.1326,5.2913
CUST0000229,13-05-2024 04:11,EU,GBP,Consumer,Organic,55+,United Kingdom,55.3781,-3.436
CUST0000230,25-08-2024 23:08,EU,EUR,Consumer,Organic,55+,Netherlands,52.1326,5.2913
CUST0000231,16-08-2024 20:29,APAC,AUD,Consumer,Organic,55+,Australia,-25.2744,133.7751
CUST0000232,30-03-2024 12:21,,USD,Consumer,Organic,35-44,United States,39.8283,-98.5795
CUST0000233,06-03-2024 16:18,LATAM,USD,Consumer,Organic,25-34,Brazil,-14.235,-51.9253
CUST0000234,10-04-2024 05:02,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000235,09-04-2025 20:35,EU,EUR,Consumer,Email,25-34,France,46.2276,2.2137
CUST0000236,14-09-2024 20:12,APAC,AUD,SOHO,Email,55+,Australia,-25.2744,133.7751
CUST0000237,14-03-2025 23:08,,USD,SMB,Organic,45-54,United States,39.8283,-98.5795
CUST0000238,31-07-2024 06:09,APAC,AUD,SMB,Social,35-44,Australia,-25.2744,133.7751
CUST0000239,09-09-2024 10:00,EU,GBP,Consumer,Social,35-44,United Kingdom,55.3781,-3.436
CUST0000240,26-05-2025 04:17,EU,EUR,Consumer,Affiliate,25-34,France,46.2276,2.2137
CUST0000241,04-03-2024 09:40,LATAM,USD,Consumer,Organic,25-34,Brazil,-14.235,-51.9253
CUST0000242,26-10-2024 03:51,EU,GBP,Consumer,Organic,35-44,United Kingdom,55.3781,-3.436
CUST0000243,16-01-2025 18:55,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000244,13-01-2024 22:50,EU,GBP,SOHO,Email,25-34,United Kingdom,55.3781,-3.436
CUST0000245,15-05-2024 15:01,APAC,USD,Consumer,Paid Search,35-44,Philippines,12.8797,121.774
CUST0000246,31-07-2025 14:44,,USD,Consumer,Email,25-34,United States,39.8283,-98.5795
CUST0000247,25-05-2025 23:52,,USD,Enterprise,Organic,55+,United States,39.8283,-98.5795
CUST0000248,11-06-2024 04:22,,USD,Consumer,Paid Search,25-34,United States,39.8283,-98.5795
CUST0000249,21-01-2025 23:47,,USD,Consumer,Email,55+,United States,39.8283,-98.5795
CUST0000250,15-04-2025 13:47,EU,EUR,Consumer,Email,25-34,Spain,40.4637,-3.7492
CUST0000251,07-11-2024 10:08,,USD,Consumer,Organic,25-34,Canada,56.1304,-106.3468
CUST0000252,21-02-2025 23:17,EU,EUR,Consumer,Affiliate,35-44,Germany,51.1657,10.4515
CUST0000253,18-03-2024 01:58,APAC,AUD,Consumer,Social,45-54,Australia,-25.2744,133.7751
CUST0000254,29-12-2024 04:11,EU,EUR,Consumer,Affiliate,35-44,France,46.2276,2.2137
CUST0000255,28-02-2025 00:20,LATAM,USD,SOHO,Email,25-34,Brazil,-14.235,-51.9253
CUST0000256,11-02-2025 14:19,LATAM,USD,SOHO,Paid Search,18-24,Brazil,-14.235,-51.9253
CUST0000257,12-08-2024 22:09,EU,EUR,SMB,Paid Search,35-44,France,46.2276,2.2137
CUST0000258,14-07-2024 10:54,EU,EUR,SMB,Organic,25-34,Netherlands,52.1326,5.2913
CUST0000259,27-08-2025 17:07,,USD,Consumer,Affiliate,25-34,Canada,56.1304,-106.3468
CUST0000260,14-03-2024 01:55,EU,EUR,Consumer,Social,35-44,Germany,51.1657,10.4515
CUST0000261,22-12-2024 19:05,,USD,Consumer,Organic,18-24,United States,39.8283,-98.5795
CUST0000262,16-05-2025 16:52,EU,GBP,Consumer,Organic,25-34,United Kingdom,55.3781,-3.436
CUST0000263,15-02-2025 14:30,,USD,SOHO,Organic,18-24,Canada,56.1304,-106.3468
CUST0000264,11-02-2025 13:31,LATAM,USD,SOHO,Organic,55+,Brazil,-14.235,-51.9253
CUST0000265,17-02-2025 05:34,,USD,Consumer,Social,25-34,Canada,56.1304,-106.3468
CUST0000266,18-04-2025 11:56,EU,EUR,Consumer,Email,55+,Netherlands,52.1326,5.2913
CUST0000267,09-10-2024 19:40,APAC,AUD,Consumer,Paid Search,25-34,Australia,-25.2744,133.7751
